,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
151,2018,2018,0,Total,60926,16647.0,"Census Tract 160, Philadelphia County, PA",14000US42101016000
152,2018,2018,0,Total,69263,10730.0,"Census Tract 161, Philadelphia County, PA",14000US42101016100
153,2018,2018,0,Total,25256,6542.0,"Census Tract 162, Philadelphia County, PA",14000US42101016200
154,2018,2018,0,Total,18569,2241.0,"Census Tract 163, Philadelphia County, PA",14000US42101016300
155,2018,2018,0,Total,17757,3250.0,"Census Tract 164, Philadelphia County, PA",14000US42101016400
156,2018,2018,0,Total,12839,5547.0,"Census Tract 165, Philadelphia County, PA",14000US42101016500
157,2018,2018,0,Total,15875,11931.0,"Census Tract 166, Philadelphia County, PA",14000US42101016600
158,2018,2018,0,Total,30503,10872.0,"Census Tract 167.01, Philadelphia County, PA",14000US42101016701
159,2018,2018,0,Total,16474,6108.0,"Census Tract 167.02, Philadelphia County, PA",14000US42101016702
160,2018,2018,0,Total,14704,3807.0,"Census Tract 168, Philadelphia County, PA",14000US42101016800
161,2018,2018,0,Total,21042,4596.0,"Census Tract 169.01, Philadelphia County, PA",14000US42101016901
162,2018,2018,0,Total,19749,3162.0,"Census Tract 169.02, Philadelphia County, PA",14000US42101016902
163,2018,2018,0,Total,42661,13566.000000000002,"Census Tract 170, Philadelphia County, PA",14000US42101017000
164,2018,2018,0,Total,32027,6698.0,"Census Tract 171, Philadelphia County, PA",14000US42101017100
165,2018,2018,0,Total,29853,7216.0,"Census Tract 172.01, Philadelphia County, PA",14000US42101017201
166,2018,2018,0,Total,21371,9137.0,"Census Tract 172.02, Philadelphia County, PA",14000US42101017202
167,2018,2018,0,Total,18125,6322.0,"Census Tract 173, Philadelphia County, PA",14000US42101017300
168,2018,2018,0,Total,25052,5962.0,"Census Tract 174, Philadelphia County, PA",14000US42101017400
169,2018,2018,0,Total,18356,4410.0,"Census Tract 175, Philadelphia County, PA",14000US42101017500
170,2018,2018,0,Total,17392,4594.0,"Census Tract 176.01, Philadelphia County, PA",14000US42101017601
171,2018,2018,0,Total,19717,6887.0,"Census Tract 176.02, Philadelphia County, PA",14000US42101017602
172,2018,2018,0,Total,20058,9528.0,"Census Tract 177.01, Philadelphia County, PA",14000US42101017701
173,2018,2018,0,Total,18125,7246.0,"Census Tract 177.02, Philadelphia County, PA",14000US42101017702
174,2018,2018,0,Total,20438,9669.0,"Census Tract 178, Philadelphia County, PA",14000US42101017800
175,2018,2018,0,Total,34514,3838.9999999999995,"Census Tract 179, Philadelphia County, PA",14000US42101017900
176,2018,2018,0,Total,61027,17591.0,"Census Tract 180.01, Philadelphia County, PA",14000US42101018001
177,2018,2018,0,Total,37146,13133.0,"Census Tract 180.02, Philadelphia County, PA",14000US42101018002
178,2018,2018,0,Total,69526,12099.0,"Census Tract 183, Philadelphia County, PA",14000US42101018300
179,2018,2018,0,Total,54000,5830.0,"Census Tract 184, Philadelphia County, PA",14000US42101018400
180,2018,2018,0,Total,25919,2272.0,"Census Tract 188, Philadelphia County, PA",14000US42101018800
181,2018,2018,0,Total,35213,9819.0,"Census Tract 190, Philadelphia County, PA",14000US42101019000
182,2018,2018,0,Total,38750,6981.0,"Census Tract 191, Philadelphia County, PA",14000US42101019100
183,2018,2018,0,Total,27500,7794.0,"Census Tract 192, Philadelphia County, PA",14000US42101019200
184,2018,2018,0,Total,15892,2403.0,"Census Tract 195.01, Philadelphia County, PA",14000US42101019501
185,2018,2018,0,Total,23114,5132.0,"Census Tract 195.02, Philadelphia County, PA",14000US42101019502
186,2018,2018,0,Total,19111,12164.0,"Census Tract 197, Philadelphia County, PA",14000US42101019700
187,2018,2018,0,Total,25434,4900.0,"Census Tract 198, Philadelphia County, PA",14000US42101019800
188,2018,2018,0,Total,18005,5427.0,"Census Tract 199, Philadelphia County, PA",14000US42101019900
189,2018,2018,0,Total,22568,9095.0,"Census Tract 200, Philadelphia County, PA",14000US42101020000
190,2018,2018,0,Total,15891,3904.0,"Census Tract 201.01, Philadelphia County, PA",14000US42101020101
191,2018,2018,0,Total,39971,7161.0,"Census Tract 201.02, Philadelphia County, PA",14000US42101020102
192,2018,2018,0,Total,18439,4273.0,"Census Tract 202, Philadelphia County, PA",14000US42101020200
193,2018,2018,0,Total,24612,5186.0,"Census Tract 203, Philadelphia County, PA",14000US42101020300
194,2018,2018,0,Total,25875,10034.0,"Census Tract 204, Philadelphia County, PA",14000US42101020400
195,2018,2018,0,Total,17929,4796.0,"Census Tract 205, Philadelphia County, PA",14000US42101020500
196,2018,2018,0,Total,47292,18058.0,"Census Tract 206, Philadelphia County, PA",14000US42101020600
197,2018,2018,0,Total,81653,16314.0,"Census Tract 207, Philadelphia County, PA",14000US42101020700
198,2018,2018,0,Total,53409,24177.0,"Census Tract 208, Philadelphia County, PA",14000US42101020800
199,2018,2018,0,Total,67177,8250.0,"Census Tract 209, Philadelphia County, PA",14000US42101020900
200,2018,2018,0,Total,71667,19001.0,"Census Tract 210, Philadelphia County, PA",14000US42101021000
201,2018,2018,0,Total,64479,10308.0,"Census Tract 211, Philadelphia County, PA",14000US42101021100
202,2018,2018,0,Total,66058,13670.000000000002,"Census Tract 212, Philadelphia County, PA",14000US42101021200
203,2018,2018,0,Total,67017,10956.0,"Census Tract 213, Philadelphia County, PA",14000US42101021300
204,2018,2018,0,Total,74677,15577.0,"Census Tract 214, Philadelphia County, PA",14000US42101021400
205,2018,2018,0,Total,74087,8183.0,"Census Tract 215, Philadelphia County, PA",14000US42101021500
206,2018,2018,0,Total,80688,13830.000000000002,"Census Tract 216, Philadelphia County, PA",14000US42101021600
207,2018,2018,0,Total,82841,6984.999999999999,"Census Tract 217, Philadelphia County, PA",14000US42101021700
208,2018,2018,0,Total,57135,7756.0,"Census Tract 218, Philadelphia County, PA",14000US42101021800
209,2018,2018,0,Total,71705,11463.0,"Census Tract 219, Philadelphia County, PA",14000US42101021900
210,2018,2018,0,Total,107396,14710.0,"Census Tract 220, Philadelphia County, PA",14000US42101022000
211,2018,2018,0,Total,136058,16103.000000000002,"Census Tract 231, Philadelphia County, PA",14000US42101023100
212,2018,2018,0,Total,93646,13820.999999999998,"Census Tract 235, Philadelphia County, PA",14000US42101023500
213,2018,2018,0,Total,88807,12639.0,"Census Tract 236, Philadelphia County, PA",14000US42101023600
214,2018,2018,0,Total,62117,19864.0,"Census Tract 237, Philadelphia County, PA",14000US42101023700
215,2018,2018,0,Total,68370,19529.0,"Census Tract 238, Philadelphia County, PA",14000US42101023800
216,2018,2018,0,Total,25598,14114.999999999998,"Census Tract 239, Philadelphia County, PA",14000US42101023900
217,2018,2018,0,Total,43146,5394.0,"Census Tract 240, Philadelphia County, PA",14000US42101024000
218,2018,2018,0,Total,14620,2328.0,"Census Tract 241, Philadelphia County, PA",14000US42101024100
219,2018,2018,0,Total,28961,8412.0,"Census Tract 242, Philadelphia County, PA",14000US42101024200
220,2018,2018,0,Total,36118,12882.0,"Census Tract 243, Philadelphia County, PA",14000US42101024300
221,2018,2018,0,Total,30284,8981.0,"Census Tract 244, Philadelphia County, PA",14000US42101024400
222,2018,2018,0,Total,17252,4617.0,"Census Tract 245, Philadelphia County, PA",14000US42101024500
223,2018,2018,0,Total,17267,6929.0,"Census Tract 246, Philadelphia County, PA",14000US42101024600
224,2018,2018,0,Total,25721,5286.0,"Census Tract 247, Philadelphia County, PA",14000US42101024700
225,2018,2018,0,Total,46250,12924.0,"Census Tract 248, Philadelphia County, PA",14000US42101024800
226,2018,2018,0,Total,24741,9498.0,"Census Tract 249, Philadelphia County, PA",14000US42101024900
227,2018,2018,0,Total,37753,7079.0,"Census Tract 252, Philadelphia County, PA",14000US42101025200
228,2018,2018,0,Total,40719,6989.0,"Census Tract 253, Philadelphia County, PA",14000US42101025300
229,2018,2018,0,Total,56289,4376.0,"Census Tract 254, Philadelphia County, PA",14000US42101025400
230,2018,2018,0,Total,63721,8213.0,"Census Tract 255, Philadelphia County, PA",14000US42101025500
231,2018,2018,0,Total,96488,30588.0,"Census Tract 256, Philadelphia County, PA",14000US42101025600
232,2018,2018,0,Total,62386,10232.0,"Census Tract 257, Philadelphia County, PA",14000US42101025700
233,2018,2018,0,Total,58828,8141.000000000001,"Census Tract 258, Philadelphia County, PA",14000US42101025800
234,2018,2018,0,Total,45000,6987.000000000001,"Census Tract 259, Philadelphia County, PA",14000US42101025900
235,2018,2018,0,Total,48347,7809.999999999999,"Census Tract 260, Philadelphia County, PA",14000US42101026000
236,2018,2018,0,Total,35869,6345.0,"Census Tract 261, Philadelphia County, PA",14000US42101026100
237,2018,2018,0,Total,53299,9798.0,"Census Tract 262, Philadelphia County, PA",14000US42101026200
238,2018,2018,0,Total,38315,6157.0,"Census Tract 263.01, Philadelphia County, PA",14000US42101026301
239,2018,2018,0,Total,44505,3115.0,"Census Tract 263.02, Philadelphia County, PA",14000US42101026302
240,2018,2018,0,Total,53342,14986.999999999998,"Census Tract 264, Philadelphia County, PA",14000US42101026400
241,2018,2018,0,Total,44179,7181.0,"Census Tract 265, Philadelphia County, PA",14000US42101026500
242,2018,2018,0,Total,44406,6912.0,"Census Tract 266, Philadelphia County, PA",14000US42101026600
243,2018,2018,0,Total,33978,6575.0,"Census Tract 267, Philadelphia County, PA",14000US42101026700
244,2018,2018,0,Total,38026,8619.0,"Census Tract 268, Philadelphia County, PA",14000US42101026800
245,2018,2018,0,Total,54722,16561.0,"Census Tract 269, Philadelphia County, PA",14000US42101026900
246,2018,2018,0,Total,57411,12496.0,"Census Tract 270, Philadelphia County, PA",14000US42101027000
247,2018,2018,0,Total,48137,3922.0,"Census Tract 271, Philadelphia County, PA",14000US42101027100
248,2018,2018,0,Total,51676,11013.0,"Census Tract 272, Philadelphia County, PA",14000US42101027200
249,2018,2018,0,Total,39296,10790.0,"Census Tract 273, Philadelphia County, PA",14000US42101027300
250,2018,2018,0,Total,37611,6173.0,"Census Tract 274.01, Philadelphia County, PA",14000US42101027401
251,2018,2018,0,Total,39306,12303.0,"Census Tract 274.02, Philadelphia County, PA",14000US42101027402
252,2018,2018,0,Total,47964,7455.0,"Census Tract 275, Philadelphia County, PA",14000US42101027500
253,2018,2018,0,Total,31552,6152.0,"Census Tract 276, Philadelphia County, PA",14000US42101027600
254,2018,2018,0,Total,28038,4995.0,"Census Tract 277, Philadelphia County, PA",14000US42101027700
255,2018,2018,0,Total,33858,7839.999999999999,"Census Tract 278, Philadelphia County, PA",14000US42101027800
256,2018,2018,0,Total,46486,15557.0,"Census Tract 279.01, Philadelphia County, PA",14000US42101027901
257,2018,2018,0,Total,28892,5573.0,"Census Tract 279.02, Philadelphia County, PA",14000US42101027902
258,2018,2018,0,Total,21604,6150.0,"Census Tract 280, Philadelphia County, PA",14000US42101028000
259,2018,2018,0,Total,37422,9436.0,"Census Tract 281, Philadelphia County, PA",14000US42101028100
260,2018,2018,0,Total,29413,4788.0,"Census Tract 282, Philadelphia County, PA",14000US42101028200
261,2018,2018,0,Total,30328,11313.0,"Census Tract 283, Philadelphia County, PA",14000US42101028300
262,2018,2018,0,Total,27431,12462.0,"Census Tract 284, Philadelphia County, PA",14000US42101028400
263,2018,2018,0,Total,30202,7993.0,"Census Tract 285, Philadelphia County, PA",14000US42101028500
264,2018,2018,0,Total,28114,6942.999999999999,"Census Tract 286, Philadelphia County, PA",14000US42101028600
265,2018,2018,0,Total,27672,6698.0,"Census Tract 287, Philadelphia County, PA",14000US42101028700
266,2018,2018,0,Total,30205,7721.0,"Census Tract 288, Philadelphia County, PA",14000US42101028800
267,2018,2018,0,Total,38920,9821.0,"Census Tract 289.01, Philadelphia County, PA",14000US42101028901
268,2018,2018,0,Total,30634,5810.0,"Census Tract 289.02, Philadelphia County, PA",14000US42101028902
269,2018,2018,0,Total,39978,8862.0,"Census Tract 290, Philadelphia County, PA",14000US42101029000
270,2018,2018,0,Total,25905,5505.0,"Census Tract 291, Philadelphia County, PA",14000US42101029100
271,2018,2018,0,Total,49272,7270.0,"Census Tract 292, Philadelphia County, PA",14000US42101029200
272,2018,2018,0,Total,29535,6891.0,"Census Tract 293, Philadelphia County, PA",14000US42101029300
273,2018,2018,0,Total,19952,4516.0,"Census Tract 294, Philadelphia County, PA",14000US42101029400
274,2018,2018,0,Total,27733,5494.0,"Census Tract 298, Philadelphia County, PA",14000US42101029800
